step,hour_of_day,source_flow_Ls,leak_active,leak_node,pressure_15,pressure_35,pressure_101,pressure_105,pressure_113,pressure_201
140,11.0,489.66006,0,,35.971306,43.064186,41.331196,41.766766,48.140877,44.860184
141,11.25,490.1138,0,,35.94107,43.03869,41.309013,41.741028,48.114403,44.836967
142,11.5,490.56372,0,,35.911076,43.013103,41.286915,41.715405,48.087986,44.813526
143,11.75,491.00992,0,,35.881313,42.987457,41.264915,41.689907,48.061638,44.789894
144,12.0,491.24274,0,,35.882244,42.989212,41.32019,41.723602,48.08081,44.84688
145,12.25,491.64798,0,,35.85529,42.96862,41.301025,41.701267,48.05828,44.82868
146,12.5,492.0496,0,,35.828564,42.94779,41.28191,41.67901,48.035725,44.810104
147,12.75,492.44754,0,,35.802067,42.92675,41.26284,41.656822,48.013157,44.791214
148,13.0,492.4739,0,,35.84466,42.950573,41.43593,41.77812,48.088917,44.835484
149,13.25,492.78665,0,,35.824226,42.94398,41.42389,41.76368,48.076233,44.830353
150,13.5,493.09735,0,,35.803886,42.935818,41.411465,41.748875,48.062817,44.823845
151,13.75,493.4054,0,,35.78369,42.926426,41.398766,41.733814,48.04886,44.81623
152,14.0,493.3095,0,,35.855915,42.95882,41.66956,41.930252,48.169975,44.92076
153,14.25,493.51837,0,,35.84312,42.966892,41.66515,41.924442,48.167675,44.93014
154,14.5,493.72104,0,,35.830723,42.973934,41.66064,41.91858,48.165043,44.938572
155,14.75,493.9177,0,,35.818707,42.97994,41.656036,41.91265,48.162086,44.946056
156,15.0,502.03812,0,,35.3253,42.245144,33.17292,37.385918,45.510956,44.332825
157,15.25,502.90735,0,,35.26548,42.181698,33.11073,37.324062,45.448223,44.278084
158,15.5,503.7743,0,,35.205738,42.118168,33.048485,37.262173,45.385433,44.22239
159,15.75,504.63904,0,,35.146072,42.05453,32.986176,37.20022,45.32256,44.16574
160,16.0,503.7324,0,,38.63377,42.107418,33.090313,37.303932,45.400394,44.206936
161,16.25,504.47345,0,,38.582985,42.052948,33.037033,37.250954,45.34668,44.160084
162,16.5,505.2113,0,,38.53214,41.99859,32.98388,37.198105,45.29309,44.112617
163,16.75,505.94675,0,,38.481403,41.94427,32.93077,37.1453,45.23954,44.06444
164,17.0,506.27393,0,,38.468437,41.930996,32.96881,37.18026,45.25242,44.054134
165,17.25,506.9687,0,,38.420483,41.88081,32.919548,37.131233,45.202877,44.01055
166,17.5,507.66046,0,,38.37267,41.83072,32.87039,37.082314,45.153435,43.966385
167,17.75,508.34955,0,,38.324993,41.7807,32.82131,37.033466,45.104073,43.921608
168,18.0,508.36618,0,,38.350624,41.82284,32.96139,37.167206,45.20581,43.981567
169,18.25,508.97504,0,,38.308605,41.78228,32.921047,37.126873,45.16546,43.949062
170,18.5,509.58044,0,,38.266773,41.741783,32.88076,37.086605,45.125153,43.9158
171,18.75,510.1823,0,,38.225143,41.70137,32.840557,37.046432,45.08493,43.88189
172,19.0,510.71924,0,,38.18496,41.656033,32.79814,37.004356,45.042194,43.854218
173,19.25,511.31302,0,,38.14382,41.615723,32.758106,36.96437,45.00212,43.819305
174,19.5,511.90347,0,,38.102867,41.57552,32.718174,36.924488,44.962147,43.783916
175,19.75,512.4907,0,,38.062088,41.535362,32.678307,36.88468,44.92223,43.747974
176,20.0,514.5234,0,,37.87542,41.33735,32.26734,36.4876,44.60796,43.556175
177,20.25,515.245,0,,37.82476,41.28103,32.212563,36.43324,44.55254,43.497982
178,20.5,830.9877,0,,38.75049,41.686665,32.79117,37.05056,45.081467,43.852894
179,20.75,830.6494,0,,38.798664,41.71653,32.82513,37.08549,45.114483,43.87384
180,21.0,830.6431,0,,38.78041,41.683315,32.662838,36.93221,45.010525,43.798424
181,21.25,830.36096,0,,38.819942,41.69695,32.682243,36.952995,45.028088,43.803936
182,21.5,830.0762,0,,38.859962,41.71273,32.703407,36.975437,45.04755,43.81212
183,21.75,829.7894,0,,38.900387,41.730446,32.726147,36.999382,45.068726,43.822742
184,22.0,831.11566,0,,35.053753,41.532665,32.14826,36.447315,44.688423,43.52702
185,22.25,830.9777,0,,35.075146,41.51238,32.13646,36.437458,44.673336,43.498703
186,22.5,830.8407,0,,35.096184,41.493233,32.125504,36.4284,44.65922,43.472107
187,22.75,830.70465,0,,35.116875,41.475212,32.11537,36.42011,44.646057,43.447178
